,start,end,url,expanded_url,display_url,images,status,title,description,unwound_url,id,author_id,text,created_at,retweet_count,reply_count,like_count,quote_count,reference_type,reference_id,media_key
0,138,161,https://t.co/jFxXnHJdm8,https://twitter.com/NWCCInfo/status/1599858263881048064,twitter.com/NWCCInfo/statu…,,,,,,1599859021061959680,21505125,"Turned out to be a pretty mild fire year after all! For comparison, Oregon saw 653,000 acres burn in 2021, and 1.2 million acres in 2020. https://t.co/jFxXnHJdm8",2022-12-05T20:11:29.000Z,2,0,3,0,quoted,1599858263881048064,
1,126,149,https://t.co/cn82KrjRor,https://twitter.com/lizzzyacker/status/1599786829221617667,twitter.com/lizzzyacker/st…,,,,,,1599833725633982465,21505125,You don't need a car to go to the coast! @lizzzyacker is embarking on a new car-free travel series and it's gonna be so good. https://t.co/cn82KrjRor,2022-12-05T18:30:58.000Z,0,0,10,0,quoted,1599786829221617667,
2,42,65,https://t.co/qWMmG2fdMV,https://twitter.com/HaleJamesB/status/1599831000624033793/photo/1,pic.twitter.com/qWMmG2fdMV,,,,,,1599831000624033793,21505125,Fall evenings at Drake Park are the best. https://t.co/qWMmG2fdMV,2022-12-05T18:20:08.000Z,0.0,0.0,18.0,0.0,,,3_1599830994034782209
3,42,65,https://t.co/qWMmG2fdMV,https://twitter.com/HaleJamesB/status/1599831000624033793/photo/1,pic.twitter.com/qWMmG2fdMV,,,,,,1599831000624033793,21505125,Fall evenings at Drake Park are the best. https://t.co/qWMmG2fdMV,2022-12-05T18:20:08.000Z,,,,,,,3_1599830994034790400
4,42,65,https://t.co/qWMmG2fdMV,https://twitter.com/HaleJamesB/status/1599831000624033793/photo/1,pic.twitter.com/qWMmG2fdMV,,,,,,1599831000624033793,21505125,Fall evenings at Drake Park are the best. https://t.co/qWMmG2fdMV,2022-12-05T18:20:08.000Z,,,,,,,3_1599830994034786307
5,42,65,https://t.co/qWMmG2fdMV,https://twitter.com/HaleJamesB/status/1599831000624033793/photo/1,pic.twitter.com/qWMmG2fdMV,,,,,,1599831000624033793,21505125,Fall evenings at Drake Park are the best. https://t.co/qWMmG2fdMV,2022-12-05T18:20:08.000Z,,,,,,,3_1599830994038972418
6,,,,,,,,,,,1599480473465810944,21505125,"RT @Oregonian: It's beginning to look a lot like Christmas at the Portland Japanese Garden as snow flakes fell early Sunday morning, captur…",2022-12-04T19:07:16.000Z,18,0,0,0,retweeted,1599480020522737666,
7,,,,,,,,,,,1599437691854401536,21505125,RT @OregonDOT: US 30 remains closed about 20 mi. E of #Astoria for #landslide repairs. Crews have removed about 650 cubic yards of debris s…,2022-12-04T16:17:16.000Z,17,0,0,0,retweeted,1598767990706692096,
8,,,,,,,,,,,1598915411256700928,21505125,Just drove past the Shroom House and there is STILL a line around the block. It’s officially A Scene.,2022-12-03T05:41:55.000Z,1,1,7,0,replied_to,1598783851249426432,
9,53,76,https://t.co/MZZrn1xEBH,https://twitter.com/lynds_summers/status/1598781107117641728,twitter.com/lynds_summers/…,,,,,,1598783851249426432,21505125,"All that ""narcing"" is great for business! Go figure! https://t.co/MZZrn1xEBH",2022-12-02T20:59:08.000Z,0,2,9,0,quoted,1598781107117641728,
10,168,191,https://t.co/7VfqEgLcGH,https://twitter.com/Oregonian/status/1598528772231561216,twitter.com/Oregonian/stat…,,,,,,1598737917853458432,21505125,"People have been getting mad at local media for blowing this up, but it would be extremely naive to think that this place wasn't expecting/looking for media attention. https://t.co/7VfqEgLcGH",2022-12-02T17:56:37.000Z,1,4,21,1,quoted,1598528772231561216,
11,14,37,https://t.co/pfE5XQEOcu,https://twitter.com/NWS/status/1598297611856842752,twitter.com/NWS/status/159…,,,,,,1598439825535008768,21505125,Not MY winter https://t.co/pfE5XQEOcu,2022-12-01T22:12:06.000Z,0,0,2,0,quoted,1598297611856842752,
12,,,,,,,,,,,1598369422485618689,21505125,"RT @Oregonian: Take to the forest for a delectable bounty (if done right). On the latest episode of Peak Northwest, @HaleJamesB + @vickieac…",2022-12-01T17:32:21.000Z,3,0,0,0,retweeted,1598353829090705409,
13,,,,,,,,,,,1598094083746299906,21505125,"@alexisohanian @ElektraHealth That hypothesis could also apply to orcas, which live in matriarchal societies in which the grandmothers typically help care for the young.",2022-11-30T23:18:15.000Z,0,0,0,0,replied_to,1598093516923625473,
14,,,,,,,,,,,1598081501987753984,21505125,"RT @AP: The first eruption in 38 years of Mauna Loa, the world's largest active volcano, is drawing visitors to Hawaii Volcanoes National P…",2022-11-30T22:28:15.000Z,27,0,0,0,retweeted,1598078229641822208,
15,183,206,https://t.co/20in0AAzY1,https://www.hereisoregon.com/experiences/2022/11/black-rodeo-gets-the-spotlight-at-high-desert-museum-in-bend.html,hereisoregon.com/experiences/20…,,200,Black rodeo gets the spotlight at High Desert Museum in Bend,A new exhibition from photographer Gabriela Hasbun documents the Bill Pickett Invitational Rodeo.,https://www.hereisoregon.com/experiences/2022/11/black-rodeo-gets-the-spotlight-at-high-desert-museum-in-bend.html,1598071723634884609,21505125,"Go check out this great new exhibition at the @HighDesertMuse in Bend: ""In the Arena,"" which showcases photos taken at the @billpickettrode by Bay Area photographer @GABRIELAHASBUN.  https://t.co/20in0AAzY1",2022-11-30T21:49:24.000Z,0,0,3,0,,,
16,,,,,,,,,,,1598070597640417280,21505125,RT @vangoghmuseum: ‘How much good it does a person if one is in a gloomy mood to walk on the empty beach and look into the grey-green sea w…,2022-11-30T21:44:55.000Z,250,0,0,0,retweeted,1594733701266829314,
