,name,username,id,followers_count,following_count,tweet_count,listed_count,public_metrics.followers_count,public_metrics.following_count,public_metrics.tweet_count,public_metrics.listed_count
0,Jamie Hale,HaleJamesB,21505125,,,,,3900.0,1356.0,8362.0,107.0
1,Ted Sickinger,tedsickinger,199853726,,,,,2199.0,151.0,583.0,112.0
2,Lizzy Acker,lizzzyacker,85972500,,,,,5208.0,4305.0,17756.0,139.0
3,Savannah Jo Eadens,SavannahEadens,3339237555,,,,,1370.0,920.0,4193.0,35.0
4,Maxine Bernstein,maxoregonian,223587964,,,,,12081.0,2652.0,25594.0,436.0
5,Zane Sparling,PDXzane,993907595000725504,,,,,28803.0,948.0,5345.0,450.0
6,Rose Wong 寶怡,rosebwong,884457226940948480,,,,,1417.0,1048.0,1391.0,21.0
7,Gosia Wozniacka,GosiaWozniacka,166518707,,,,,3210.0,2211.0,1648.0,173.0
8,Rob Davis,robwdavis,39621524,,,,,6515.0,157.0,10713.0,380.0
9,Aimee Green,o_aimee,239600819,,,,,2629.0,112.0,3933.0,117.0
10,Kristi Turnquist,Kristiturnquist,8540312,,,,,4094.0,2683.0,24663.0,235.0
11,Aaron J. Fentress,AaronJFentress,161568195,,,,,27268.0,9083.0,124400.0,596.0
12,Andrew Theen 🎙🏀🎙,andrewtheen,53454719,,,,,5478.0,1984.0,31359.0,274.0
13,Michael Russell,tdmrussell,104340042,,,,,4931.0,263.0,29711.0,193.0
14,Tom Hallman Jr.,thallmanjr,222543804,,,,,1891.0,39.0,2919.0,0.0
15,Nick Daschel,nickdaschel,19741316,,,,,8992.0,319.0,34428.0,245.0
16,Mike Rogoway,rogoway,17527292,,,,,7575.0,4382.0,14406.0,516.0
17,Ryan Clarke,RyanTClarke,326913251,,,,,4312.0,683.0,30749.0,174.0
18,Nik Streng,NikStreng,399091671,,,,,1548.0,1185.0,47285.0,31.0
19,Julia Silverman,jrlsilverman,1212792467377909760,,,,,1105.0,324.0,3550.0,24.0
20,Janet Eastman,janeteastman,39618700,,,,,2147.0,2231.0,4891.0,99.0
